period,department,category,budget,actual
2025-01,Engineering,payroll,380000,365000
2025-01,Marketing,vendor,130000,128000
2025-01,Sales,payroll,300000,285000
2025-02,Engineering,payroll,380000,395000
2025-02,Engineering,vendor,50000,68000
2025-02,Marketing,campaign,150000,162000
2025-03,Marketing,campaign,200000,220000
2025-03,Sales,payroll,300000,298000
2025-03,HR,payroll,200000,195000
2025-04,Engineering,payroll,380000,420000
2025-04,Engineering,vendor,60000,89000
2025-04,Sales,payroll,300000,295000
2025-05,Engineering,vendor,60000,82000
2025-05,Marketing,campaign,180000,195000
2025-05,Sales,payroll,300000,310000
2025-05,HR,payroll,200000,198000
2025-06,Finance,operations,150000,148000
2025-06,HR,payroll,200000,195000
